abbreviation	EC
RE2146C	2.4.1.17
RE2146R	2.4.1.17
RE2149C	2.4.1.17
RE2149R	2.4.1.17
RE2150C	2.4.1.17
RE2150R	2.4.1.17
RE2151C	2.4.1.17
RE2151R	2.4.1.17
RE2152C	1.14.99.1
RE2154C	1.1.-.-
RE2155R	1.14.99.10
RE2156M	2.3.1.1
RE2235C	1.14.13.-
RE2235C	1.14.14.1
RE2235R	1.14.13.-
RE2235R	1.14.14.1
RE2240C	1.14.13.126
RE2249C	2.3.1.13
RE2250C	2.1.1.6
RE2251C	2.1.1.6
RE2252C	2.1.1.6
RE2265C	3.4.21.35
RE2269C	3.4.21.39
RE2270C	3.4.17.1
RE2272C	3.4.14.9
RE2272L	3.4.14.9
RE2273C	3.4.17.1
RE2296X	2.5.1.18
RE2306C	3.4.19.6
RE2318C	2.5.1.18
RE2318M	2.5.1.18
RE2318R	2.5.1.18
RE2318X	2.5.1.18
RE2319C	2.5.1.18
RE2319M	2.5.1.18
RE2319R	2.5.1.18
RE2319X	2.5.1.18
RE2333C	1.14.99.10
RE2334C	2.3.1.1
RE2349M	2.6.1.7
RE2360N	2.3.1.1
RE2373C	1.14.14.1
RE2375C	1.14.14.1
RE2382C	1.14.13.30
RE2382R	1.14.13.30
RE2383C	1.14.13.30
RE2383R	1.14.13.30
RE2386C	2.1.1.6
RE2387C	1.14.13.30
RE2387R	1.14.13.30
RE2398C	1.14.13.30
RE2398R	1.14.13.30
RE2404R	2.4.1.17
RE2405R	2.4.1.17
RE2410C	1.3.1.21
RE2410N	1.3.1.21
RE2427M	2.3.1.13
RE2440C	2.5.1.18
RE2442C	2.5.1.18
RE2443C	2.5.1.18
RE2443M	2.5.1.18
RE2444C	2.5.1.18
RE2445C	3.4.15.1
RE2453M	6.4.1.4
RE2454M	6.4.1.4
RE2459C	3.1.1.13
RE2474C	1.14.13.67
RE2474R	1.14.13.67
RE2493C	2.1.1.13
RE2513C	1.11.1.7
RE2513E	1.11.1.7
RE2513L	1.11.1.7
RE2513N	1.11.1.7
RE2514C	1.11.1.7
RE2514L	1.11.1.7
RE2514N	1.11.1.7
RE2520C	1.6.5.5
RE2521C	1.6.5.5
RE2522C	2.5.1.18
RE2522X	2.5.1.18
RE2523C	2.5.1.18
RE2523X	2.5.1.18
RE2524C	2.5.1.18
RE2524X	2.5.1.18
RE2525C	2.5.1.18
RE2525X	2.5.1.18
RE2533C	2.3.1.13
RE2541L	3.2.1.31
RE2591C	2.5.1.18
RE2594C	2.5.1.18
RE2601C	3.4.15.1
RE2622C	2.4.1.17
RE2622R	2.4.1.17
RE2632C	2.1.1.13
RE2632M	1.11.1.7
RE2633C	1.11.1.7
RE2633R	1.11.1.7
RE2638X	2.3.1.65
RE2640C	3.5.1.14
RE2642C	3.5.1.14
RE2649X	3.1.2.2
RE2677C	2.4.1.47
RE2677E	2.4.1.47
RE2677G	2.4.1.47
RE2677N	2.4.1.47
RE2677R	2.4.1.47
RE2680C	5.1.99.4
RE2680G	5.1.99.4
RE2718C	2.8.2.11
RE2718G	2.8.2.11
RE2722C	2.8.2.11
RE2722G	2.8.2.11
RE2766C	1.1.1.64
RE2768R	2.3.1.65
RE2782C	2.3.1.65
RE2813C	3.5.2.5
RE2848C	3.5.1.15
RE2849C	3.1.2.2
RE2850C	3.1.2.2
RE2851C	3.1.2.2
RE2859C	4.2.1.96
RE2863C	2.4.1.47
RE2864C	2.4.1.47
RE2865C	2.4.1.47
RE2866C	2.4.1.47
RE2867C	2.4.1.47
RE2872C	3.2.1.46
RE2873C	2.8.2.11
RE2874C	2.8.2.11
RE2875C	2.8.2.11
RE2876C	2.8.2.11
RE2878C	5.1.99.4
RE2880C	1.1.1.62
RE2888C	1.11.1.7
RE2888E	1.11.1.7
RE2888N	1.11.1.7
RE2899C	3.5.2.5
RE2908C	1.1.1.35
RE2908M	1.1.1.35
RE2908X	1.1.1.35
RE2909C	1.1.1.35
RE2909M	1.1.1.35
RE2909X	1.1.1.35
RE2910C	1.1.1.35
RE2910M	1.1.1.35
RE2910X	1.1.1.35
RE2911C	1.1.1.2
RE2912X	6.2.1.3
RE2913M	1.3.99.3
RE2913X	1.3.99.3
RE2914M	1.3.99.3
RE2914X	1.3.99.3
RE2915M	1.3.99.3
RE2915X	1.3.99.3
RE2916M	2.3.1.16
RE2916X	2.3.1.16
RE2917M	2.3.1.16
RE2917X	2.3.1.16
RE2919M	4.2.1.17
RE2919X	4.2.1.17
RE2920M	4.2.1.17
RE2920X	4.2.1.17
RE2921M	4.2.1.17
RE2921X	4.2.1.17
RE2954C	2.7.1.40
RE2972G	2.7.1.67
RE2972M	2.7.1.67
RE2972R	2.7.1.137
RE2973G	2.7.1.137
RE2973N	2.7.1.137
RE2974G	2.7.1.68
RE2974N	2.7.1.68
RE2974R	2.7.1.68
RE2975C	1.1.1.35
RE2975M	1.1.1.35
RE2977C	1.1.1.2
RE2995M	5.3.3.8
RE2995X	5.3.3.8
RE3010R	1.1.1.184
RE3013C	1.14.14.1
RE3013R	1.14.14.1
RE3014C	1.14.13.30
RE3015C	1.14.13.30
RE3018C	1.14.13.30
RE3018R	1.14.13.30
RE3019C	1.14.13.30
RE3019R	1.14.13.30
RE3020C	1.14.13.30
RE3020R	1.14.13.30
RE3021C	1.1.1.35
RE3022C	5.3.3.8
RE3033N	1.13.11.34
RE3033R	1.13.11.34
RE3036N	1.13.11.31
RE3038N	3.3.2.9
RE3038R	3.3.2.9
RE3038X	3.3.2.9
RE3040R	3.3.2.9
RE3040X	3.3.2.9
RE3041N	1.13.11.34
RE3044N	1.13.11.34
RE3045C	3.1.3.59
RE3053C	1.1.1.1
RE3066X	1.14.11.18
RE3072X	1.2.1.3
RE3073X	1.2.1.48
RE3075C	6.2.1.24
RE3075X	6.2.1.24
RE3079C	1.14.13.30
RE3083X	5.1.99.4
RE3084X	1.3.3.6
RE3087X	4.2.1.17
RE3088X	1.1.1.35
RE3089X	1.3.3.6
RE3090X	2.3.1.154
RE3092X	4.2.1.17
RE3093X	1.1.1.35
RE3095L	1.11.1.7
RE3095X	1.11.1.7
RE3097X	2.3.1.16
RE3103R	3.3.2.9
RE3104R	3.3.2.9
RE3110R	3.3.2.9
RE3111C	1.1.1.145
RE3111M	1.1.1.145
RE3111R	1.1.1.145
RE3112R	3.1.3.59
RE3119R	1.14.11.18
RE3120R	1.2.1.48
RE3121R	6.2.1.24
RE3122R	1.2.1.48
RE3124C	4.2.1.17
RE3124R	1.1.1.35
RE3125C	5.1.99.4
RE3125R	1.3.3.6
RE3126C	1.3.3.6
RE3126R	4.2.1.17
RE3129N	1.1.1.35
RE3134R	1.3.1.70
RE3136C	5.3.3.5
RE3139X	2.3.1.16
RE3140X	4.2.1.17
RE3141X	1.1.1.35
RE3144C	2.3.1.16
RE3145X	1.3.3.6
RE3148R	1.1.1.50
RE3151R	1.1.1.145
RE3154R	6.2.1.3
RE3166R	6.2.1.3
RE3167R	1.3.1.70
RE3168R	2.3.1.16
RE3169R	1.1.1.35
RE3171R	6.2.1.3
RE3184M	1.3.99.3
RE3218L	3.1.6.2
RE3218R	3.1.6.2
RE3220L	3.1.6.2
RE3220R	3.1.6.2
RE3233C	1.14.18.1
RE3233G	1.14.18.1
RE3233L	1.14.18.1
RE3234R	1.1.1.35
RE3235R	1.1.1.35
RE3241R	2.3.1.16
RE3242R	4.2.1.17
RE3243R	4.2.1.17
RE3245C	1.14.18.1
RE3248M	4.2.1.17
RE3248X	4.2.1.17
RE3250C	1.1.1.35
RE3250M	1.1.1.35
RE3250X	1.1.1.35
RE3258R	3.3.2.9
RE3259C	3.3.2.-
RE3259R	3.3.2.9
RE3260C	2.4.1.17
RE3260R	2.4.1.17
RE3261C	2.4.1.17
RE3261R	2.4.1.17
RE3264C	2.4.1.17
RE3264R	2.4.1.17
RE3265C	2.4.1.17
RE3265R	2.4.1.17
RE3267G	2.7.8.2
RE3267M	2.7.8.2
RE3267N	2.7.8.2
RE3267R	2.7.8.2
RE3268C	3.1.3.67
RE3268R	3.1.3.67
RE3269C	3.1.3.66
RE3272N	3.1.3.66
RE3273C	3.1.4.4
RE3273G	3.1.4.4
RE3273R	3.1.4.4
RE3286R	1.14.14.1
RE3287R	1.14.14.1
RE3288R	1.14.14.1
RE3289R	1.14.14.1
RE3301C	3.1.4.4
RE3301G	3.1.4.4
RE3301R	3.1.4.4
RE3307M	1.1.1.184
RE3307X	1.1.1.184
RE3308C	1.14.14.1
RE3308M	1.14.14.1
RE3308R	1.14.14.1
RE3308X	1.14.14.1
RE3310C	1.14.14.1
RE3310R	1.14.14.1
RE3326M	3.3.2.9
RE3334M	1.3.3.6
RE3334X	1.3.3.6
RE3335C	6.2.1.3
RE3335M	6.2.1.3
RE3335R	6.2.1.3
RE3335X	6.2.1.3
RE3336M	2.3.1.16
RE3336X	2.3.1.16
RE3337M	4.2.1.17
RE3337X	4.2.1.17
RE3338C	1.1.1.35
RE3338M	1.1.1.35
RE3338X	1.1.1.35
RE3339C	3.1.2.2
RE3339M	3.1.2.2
RE3339X	3.1.2.2
RE3340C	1.1.1.35
RE3340M	1.1.1.35
RE3340X	1.1.1.35
RE3341M	1.3.3.6
RE3341X	1.3.3.6
RE3342M	2.3.1.16
RE3342X	2.3.1.16
RE3343C	3.1.2.2
RE3343M	3.1.2.2
RE3343X	3.1.2.2
RE3344M	4.2.1.17
RE3344X	4.2.1.17
RE3345C	6.2.1.3
RE3345M	6.2.1.3
RE3345R	6.2.1.3
RE3345X	6.2.1.3
RE3346R	1.2.1.3
RE3347C	1.5.1.29
RE3367C	1.4.3.6
RE3367X	1.4.3.6
RE3370C	1.14.13.30
RE3370R	1.14.13.30
RE3372C	2.5.1.10
RE3378C	1.14.14.1
RE3381L	3.2.1.31
RE3383M	2.3.1.16
RE3384M	2.3.1.16
RE3385M	1.3.3.6
RE3386M	4.2.1.17
RE3387M	1.1.1.35
RE3388M	2.3.1.16
RE3389M	1.3.3.6
RE3390M	4.2.1.17
RE3391M	1.3.1.34
RE3392M	1.3.1.34
RE3393M	1.1.1.35
RE3394M	2.3.1.16
RE3395M	1.3.3.6
RE3396M	2.3.1.16
RE3397M	1.3.3.6
RE3398M	4.2.1.17
RE3399M	1.1.1.35
RE3400M	2.3.1.16
RE3401M	4.2.1.17
RE3402M	1.1.1.35
RE3403M	1.3.1.34
RE3404M	1.3.1.34
RE3407C	3.1.2.2
RE3408C	3.1.2.2
RE3409C	4.2.1.17
