abbreviation	EC
ACPpds	3.1.4.14
ADCPS1	6.3.1.10
ADCPS2	6.3.1.10
ADCYRS	6.3.5.10
ADOCBIK	2.7.1.156
ADOCBIK2	2.7.1.156
ADOCBLS	3.1.3.73
ALCD4	1.1.1.-
ALPHNH	3.5.1.54
AMANAPEr	5.1.3.9
ASNS2	6.3.1.1
BCOAACT	2.8.3.9
CAt4i	TC-2.A.19,2.A.19
CBIAT	2.5.1.17
CBLAT	2.5.1.17
CHRPL	4.1.3.40
CPC2MT	2.1.1.130
CPC3MT	2.1.1.131
CPC4MT	2.1.1.133
CPC6MT	2.1.1.132
CPC6R	1.3.1.54
CPC8MM	5.4.1.2
CRO4t3	TC-2.A.51,2.A.51
CYRDAAT	2.5.1.17
CYRDAS	6.3.1.-
CYSS	2.5.1.47
CYSS3r	2.5.1.47
CYTDK3	2.7.4.14
D5KGK	2.7.1.92
DAPDA	3.5.1.47
DHAPT	2.7.1.121
D_LACD	1.1.2.4,1.1.2.5
EAR11M12	1.3.1.10
EAR13M14	1.3.1.10
EAR14M16	1.3.1.10
EAR5M6	1.3.1.10
EAR7M8	1.3.1.10
EAR9M10	1.3.1.10
ECOAH1R	4.2.1.55
EDTXS2	2.3.1.-
ETHAAL	4.3.1.7
ETHAt2	TC-2.A.3.5,2.A.3.5
FGLU	3.5.3.8
FRUK	2.7.1.56
GALM1r	5.1.3.3
GALT1	2.4.1.-
GARFTi	2.1.2.2
GCALDL	4.1.1.40
GLCS3	2.4.1.21
GLCTR1	2.4.1.-
GLCTR2	2.4.1.-
GLCTR3	2.4.1.-
GLUDxi	1.4.1.4
GLUFORT	2.1.2.5
GLUN	1.4.1.13
GLUN	1.4.7.1
GLUN	3.5.1.2
GLUN	3.5.1.38
GLUN	4.3.3.6
GLUN	6.3.4.2
GLUN	6.3.5.2
GLUN	6.3.5.4
GLUN	6.3.5.5
HEPK1	2.7.1.166
HEPK2	2.7.1.167
HEPT3	2.4.1.-
HEPT4	2.4.1.56
HPYRR3x	1.4.1.7
LDH_D2	1.1.2.4
LYSAM	5.4.3.2
ME1	1.1.1.38
METSr	2.1.1.13
MOAT3C	2.4.99.12
MTRK	2.7.1.100
NADH10	1.6.5.3
NADH5	1.6.5.3
NADH9	1.6.5.3
NNDMBRT	2.4.2.21
NP2MSUCCS	4.1.99.-
OHPHM	2.1.1.222 2.1.1.64
OIVD1r	1.2.1.25
OIVD3	1.2.1.25
PC	6.4.1.1
PC11M	2.1.1.133
PC17M	2.1.1.131
PC20M	2.1.1.130
PC6AR	1.3.1.54
PC6YM	2.1.1.132
PC8XM	5.4.1.2
PFK_2	2.7.1.11
PFK_3	2.7.1.11
PHPB2	1.1.1.36
PPDK	2.7.9.1
R05224	6.3.5.9 6.3.5.11
RHAT1	2.4.1.-
RZ5PP	3.1.3.-
SALCS2	4.1.99.-
SARCOX	1.5.3.1
SHCHCC2	4.99.1.3
SHCHD2	1.3.1.76,2.1.1.107
SHCHF	2.1.1.107 1.3.1.76 4.99.1.4
SUCpts	2.7.1.69
TECA1S140	2.7.8.12
TECA1S160	2.7.8.12
TECA1S180	2.7.8.12
TECA1SAI15	2.7.8.12
TECA1SAI17	2.7.8.12
TECA1SI14	2.7.8.12
TECA1SI15	2.7.8.12
TECA1SI16	2.7.8.12
TECA1SI17	2.7.8.12
THRPD	4.1.1.81
TREpts	2.7.1.69
TRPAS2	4.1.99.1
UAG2E	5.1.3.14
UAG2EMA	3.2.1.183
UAG2EMA	5.1.3.14
UAG2EMA	5.1.3.7
UPP3MT	2.1.1.107
URAt2r	TC-2.A.40,2.A.40
USHD	3.6.1.45
OIVD2	1.2.1.25
26DAPLLAT	2.6.1.83
DHDPRyr	1.3.1.26
EAR40x	1.3.1.9
AACPS6	6.2.1.20
KAS16	2.3.1.41
NTPP7	3.6.1.19
OMMBLHX3	1.14.13.-
DMQMT	2.1.1.64
OMPHHX3	1.14.13.-
35DACAPDH	1.4.1.11
3ABUTCOAL	4.3.1.14
FDNADOX_H	1.18.1.3
2HYDOGDH	1.1.99.2
2HYDOGCOAT	2.8.3.12
GLUTARCOAT	2.8.3.12
GLUTACCOADC	4.1.1.70
GLUTCOADH	1.3.99.32
BTCOAACCOAT	2.8.3.8
ABTAr	2.6.1.19
SSALxr	1.2.1.16,1.2.1.24
SSALyr	1.2.1.16
4HBNOX	1.1.1.61
BTALDH	1.2.1.10,1.2.1.57,1.2.1.87
FORAMD	3.5.1.49
APTNAT	2.6.1.48
OXPTNDH	1.2.1.20
GLCOAS	6.2.1.6
GLUTCOADH2	1.3.8.6
ECOAH1	4.2.1.17
CYRDAR	1.16.8.1
THRD	1.1.1.103
APPLDH	1.1.1.75
3MOBS	2.3.3.13,4.1.3.12
5MTHCYST	2.1.1.-
AACGLYDH	1.2.1.3
ABTOXy	1.1.1.21
ABUTR	1.2.1.3
ACGK	2.7.2.8
ACGS	2.3.1.1
ACHBPL	2.2.1.6
ACLS_a	2.2.1.6
ACLS_b	2.2.1.6
ACONMT	2.1.1.144
ACOTA	2.6.1.11
ACYP_2	3.6.1.7
ADNUC	3.2.2.8
AGPR	1.2.1.38
AHEXASE3	3.2.1.52
AHSERL2	2.5.1.49
AHSERL3	2.5.1.49
ARABASE3e	3.2.1.55
ARAI	5.3.1.4
ARBabc	3.A.1.2
ARGSSr	6.3.4.5
ATPPRT	2.4.2.17
BGLA	3.2.1.21
BGLAr	3.2.1.21
CMPN	3.2.2.10
CYSTL	4.4.1.8
F6PE4PL	4.1.2.22
FFSD	3.2.1.26
FICYTCOX	1.9.99.1
FMNRx2	1.5.1.29
FRDOr	1.18.1.2
G5SDr	1.2.1.41
GALS3	3.2.1.22
GART	2.1.2.-
GCCb	2.1.2.10
GCCc	1.8.1.4
GLCTR4r	2.4.1.-
GLNabc	3.A.1.3
GLU5K	2.7.2.11
GLUOX	1.4.1.13
GNNUC	3.2.2.1
HISTD	1.1.1.23
HSST	2.3.1.46
HSTPTr	2.6.1.9
IG3PS	2.4.2.-
IGPDH	4.2.1.19
INSH	3.2.2.8
IPMDr	1.1.1.85
IPPMIa	4.2.1.33
IPPMIb	4.2.1.33
LACZ	3.2.1.23
LCARS	1.1.1.77
LPLIPAL1A120	3.1.1.5
LPLIPAL1A140	3.1.1.5
LPLIPAL1A141	3.1.1.5
LPLIPAL1A160	3.1.1.5
LPLIPAL1A161	3.1.1.5
LPLIPAL1A180	3.1.1.5
LPLIPAL1A181	3.1.1.5
LPLIPAL1E120	3.1.1.5
LPLIPAL1E140	3.1.1.5
LPLIPAL1E141	3.1.1.5
LPLIPAL1E160	3.1.1.5
LPLIPAL1E161	3.1.1.5
LPLIPAL1E180	3.1.1.5
LPLIPAL1E181	3.1.1.5
LPLIPAL1G120	3.1.1.5
LPLIPAL1G140	3.1.1.5
LPLIPAL1G141	3.1.1.5
LPLIPAL1G160	3.1.1.5
LPLIPAL1G161	3.1.1.5
LPLIPAL1G180	3.1.1.5
LPLIPAL1G181	3.1.1.5
LPLIPAL2A120	3.1.1.5
LPLIPAL2A140	3.1.1.5
LPLIPAL2A141	3.1.1.5
LPLIPAL2A160	3.1.1.5
LPLIPAL2A161	3.1.1.5
LPLIPAL2A180	3.1.1.5
LPLIPAL2A181	3.1.1.5
LPLIPAL2E120	3.1.1.5
LPLIPAL2E140	3.1.1.5
LPLIPAL2E141	3.1.1.5
LPLIPAL2E160	3.1.1.5
LPLIPAL2E161	3.1.1.5
LPLIPAL2E180	3.1.1.5
LPLIPAL2E181	3.1.1.5
LPLIPAL2G120	3.1.1.5
LPLIPAL2G140	3.1.1.5
LPLIPAL2G141	3.1.1.5
LPLIPAL2G160	3.1.1.5
LPLIPAL2G161	3.1.1.5
LPLIPAL2G180	3.1.1.5
LPLIPAL2G181	3.1.1.5
L_AROND	1.3.1.43
L_ARONR	1.3.1.78
MADGBG	3.2.1.21
MALTabc	3.A.1.1
MANA4	3.2.1.22
MBDGBG	3.2.1.21
MCSNAH1r	3.5.4.1
METB1	2.5.1.48
METFR	1.5.1.20
MNt2	TC-2.A.55,2.A.55
MTHPTGHM	2.1.1.14
NOPHMO	1.14.13.-
OCBT	2.1.3.3
ORNTAC	2.3.1.35
PDHbr	2.3.1.12
PIabc	TC-3.A.1.7,3.A.1.7
PPCr	4.1.1.31
PPNDH	4.2.1.51
PRAMPC	3.5.4.19
PRATPP	3.6.1.31
PRMICI	5.3.1.16
RAFGH	3.2.1.22
RAFH	3.2.1.26
RBK_Dr	2.7.1.16
RBK_Dr	2.7.1.47
RBK_L1	2.7.1.16
RBP4E	5.1.3.4
SEPHCHS	2.2.1.9
SHSL1r	4.2.99.9
SHSL2	4.2.99.9
SHSL4r	4.2.99.9
STYSGH	3.2.1.22
SUCOAS	6.2.1.5
TAURabc	3.A.1.17
THD1	1.6.1.1
THD2	1.6.1.1
TRPt2r	TC-2.A.3.1,2.A.3.1
UDPGALM	5.4.99.9
XANt2r	TC-2.A.40,2.A.40
XTSNH	3.2.2.8
XU5PG3PL	4.1.2.22
XYLI1	5.3.1.5
XYLI2	5.3.1.5
PDHa	1.2.4.1
ARABINOGALASEe	3.2.1.23,3.2.1.99,3.2.1.31
GLCURt2r	TC-2.A.1.14,2.A.1.14
KESTOASEe	3.2.1.65
KESTOTTRASEe	3.2.1.65
KESTOPTASEe	3.2.1.65
SUCR	3.2.1.26
2HMCOXT	5.3.2.6
AGMD	3.5.3.12
AKGt2r	TC-2.A.1.6,2.A.1.6
ALAD_R	1.4.1.1
AMID	3.5.1.4
AMID2	3.5.1.4
AMID4	3.5.1.4
AMID5	3.5.1.4
APENTAMAH	3.5.1.30
ASPO2	1.4.3.16
BSORx	1.-.-.-
BSORy	1.-.-.-
BZAMAH	3.5.1.4
CDAPPA120	3.6.1.26
CDAPPA140	3.6.1.26
CDAPPA141	3.6.1.26
CDAPPA160	3.6.1.26
CDAPPA161	3.6.1.26
CDAPPA180	3.6.1.26
CDAPPA181	3.6.1.26
CPPPGO2	1.3.99.22
CYO1b	1.9.3.1
CYTBD	1.10.3.14
CYTBD2	1.10.3.12
DAAD	1.4.99.1
DAGK120	2.7.1.107
DAGK140	2.7.1.107
DAGK141	2.7.1.107
DAGK160	2.7.1.107
DAGK161	2.7.1.107
DAGK180	2.7.1.107
DAGK181	2.7.1.107
EAR10M11x	1.3.1.9
EAR11M12x	1.3.1.9
EAR12M13x	1.3.1.9
EAR13M14x	1.3.1.9
EAR14M15x	1.3.1.9
EAR14M16x	1.3.1.9
EAR4M5x	1.3.1.9
EAR5M6x	1.3.1.9
EAR6M7x	1.3.1.9
EAR7M8x	1.3.1.9
EAR8M9x	1.3.1.9
EAR9M10x	1.3.1.9
EDD	4.2.1.12
FTHFD	3.5.1.10
FUMt2r	TC-2.A.56,2.A.56
GLYBabc	3.A.1.12
HEXb	2.7.1.1
IAHDGK	2.7.1.107
IAPDGK	2.7.1.107
IHDGK	2.7.1.107
IHXDGK	2.7.1.107
INHINDH	3.5.1.4
IPDGK	2.7.1.107
IPDPUPT	2.5.1.31
ITDGK	2.7.1.107
Kt1r	1.A.1
MALFADO	1.1.5.4
MALt2r	TC-2.A.56,2.A.56
MDH2	1.1.5.4
MDH3	1.1.5.4
MOHMT	2.1.2.11
NADH6	1.6.5.3
NCPTRCA	3.5.1.53
OOR2r	1.2.7.3
P5CD	1.5.1.12
PANTS	6.3.2.1
PDX5PSYN	2.6.99.2
PLIPA1A120	3.1.1.32
PLIPA1A140	3.1.1.32
PLIPA1A141	3.1.1.32
PLIPA1A160	3.1.1.32
PLIPA1A161	3.1.1.32
PLIPA1A180	3.1.1.32
PLIPA1A181	3.1.1.32
PLIPA1E120	3.1.1.32
PLIPA1E140	3.1.1.32
PLIPA1E141	3.1.1.32
PLIPA1E160	3.1.1.32
PLIPA1E161	3.1.1.32
PLIPA1E180rev	3.1.1.32
PLIPA1E181	3.1.1.32
PLIPA1G120	3.1.1.32
PLIPA1G140	3.1.1.32
PLIPA1G141	3.1.1.32
PLIPA1G160	3.1.1.32
PLIPA1G161	3.1.1.32
PLIPA1G180	3.1.1.32
PLIPA1G181	3.1.1.32
PLIPA2A120	3.1.1.4
PLIPA2A140	3.1.1.4
PLIPA2A141	3.1.1.4
PLIPA2A160	3.1.1.4
PLIPA2A161	3.1.1.4
PLIPA2A180	3.1.1.4
PLIPA2A181	3.1.1.4
PLIPA2E120	3.1.1.4
PLIPA2E140	3.1.1.4
PLIPA2E141	3.1.1.4
PLIPA2E160	3.1.1.4
PLIPA2E161	3.1.1.4
PLIPA2E180	3.1.1.4
PLIPA2E181	3.1.1.4
PLIPA2G120	3.1.1.4
PLIPA2G140	3.1.1.4
PLIPA2G141	3.1.1.4
PLIPA2G160	3.1.1.4
PLIPA2G161	3.1.1.4
PLIPA2G180	3.1.1.4
PLIPA2G181	3.1.1.4
PPGPPDP	3.1.7.2
PPND	1.3.1.12
PPND2	1.3.1.13
PPS	2.7.9.2
PRAI	5.3.1.24
PROD3	1.5.99.8
PUTA3	1.5.1.12
SERATi	2.3.1.30
UPPDC2b	4.1.1.37
UREA	3.5.1.5
URFGTT	2.1.1.-
AHCYSNS	3.2.2.9
RHC	4.4.1.21
HCYSHSL	4.4.1.2
3HAD100	4.2.1.59
3HAD10M11	4.2.1.59
23DHMPO	1.1.1.86
23PDE2	3.1.4.16
23PDE4	3.1.4.16
23PDE7	3.1.4.16
23PDE9	3.1.4.16
2AHBUTI	1.1.1.86
2AHBUTI	5.4.99.3
3HAD10M12	4.2.1.59
3HAD11M12	4.2.1.59
3HAD120	4.2.1.59
3HAD12M13	4.2.1.59
3HAD12M14	4.2.1.59
3HAD13M14	4.2.1.59
3HAD140	4.2.1.59
3HAD14M15	4.2.1.59
3HAD14M16	4.2.1.59
3HAD15M16	4.2.1.59
3HAD160	4.2.1.59
3HAD180	4.2.1.59
3HAD40	4.2.1.59
3HAD4M5	4.2.1.59
3HAD4M6	4.2.1.59
3HAD5M6	4.2.1.59
3HAD60	4.2.1.59
3HAD6M7	4.2.1.59
3HAD6M8	4.2.1.59
3HAD7M8	4.2.1.59
3HAD80	4.2.1.59
3HAD8M10	4.2.1.59
3HAD8M9	4.2.1.59
3HAD9M10	4.2.1.59
3OAR100	1.1.1.100
3OAR10M11	1.1.1.100
3OAR10M12	1.1.1.100
3OAR11M12	1.1.1.100
3OAR120	1.1.1.100
3OAR12M13	1.1.1.100
3OAR12M14	1.1.1.100
3OAR13M14	1.1.1.100
3OAR140	1.1.1.100
3OAR14M15	1.1.1.100
3OAR14M16	1.1.1.100
3OAR15M16	1.1.1.100
3OAR160	1.1.1.100
3OAR180	1.1.1.100
3OAR40	1.1.1.100
3OAR4M5	1.1.1.100
3OAR4M6	1.1.1.100
3OAR5M6	1.1.1.100
3OAR60	1.1.1.100
3OAR6M7	1.1.1.100
3OAR6M8	1.1.1.100
3OAR7M8	1.1.1.100
3OAR80	1.1.1.100
3OAR8M10	1.1.1.100
3OAR8M9	1.1.1.100
3OAR9M10	1.1.1.100
3OAS100	2.3.1.41
3OAS10M11	2.3.1.41
3OAS10M12	2.3.1.41
3OAS11M12	2.3.1.41
3OAS120	2.3.1.41
3OAS12M13	2.3.1.41
3OAS12M14	2.3.1.41
3OAS13M14	2.3.1.41
3OAS140	2.3.1.41
3OAS160	2.3.1.41
3OAS180	2.3.1.41
3OAS2M3	2.3.1.41
3OAS3M4	2.3.1.41
3OAS4M3O6	2.3.1.41
3OAS4M5	2.3.1.41
3OAS4M6	2.3.1.41
3OAS5M6	2.3.1.41
3OAS60	2.3.1.41
3OAS6M7	2.3.1.41
3OAS6M8	2.3.1.41
3OAS7M8	2.3.1.41
3OAS80	2.3.1.41
3OAS8M10	2.3.1.41
3OAS8M9	2.3.1.41
3OAS9M10	2.3.1.41
4HTHRS	4.2.3.1
5GLUP5T1	2.3.2.2
5GLUP5T2	2.3.2.2
A5PISO	5.3.1.13
ACACT1r	2.3.1.9
ACACT2r	2.3.1.16
ACACT3r	2.3.1.16
ACACT4r	2.3.1.16
ACACT5r	2.3.1.16
ACACT6r	2.3.1.16
ACACT7r	2.3.1.16
ACCOACL	6.4.1.2
ACCOAL	6.2.1.13
ACGAMT	2.7.8.33
ACKr	2.7.2.1
ACOAAGPAT140	2.3.1.51
ACOAAGPAT160	2.3.1.51
ACOAAGPAT180	2.3.1.51
ACOAAGPATAI15	2.3.1.51
ACOAAGPATAI17	2.3.1.51
ACOAAGPATI14	2.3.1.51
ACOAAGPATI15	2.3.1.51
ACOAAGPATI16	2.3.1.51
ACOAAGPATI17	2.3.1.51
ACOATA	2.3.1.38
ACONT	4.2.1.3
ACONTa	4.2.1.3
ACONTb	4.2.1.3
ACPS1	2.7.8.7
ACS	6.2.1.1
ADCL	4.1.3.38
ADCS	2.6.1.85
ADK1	2.7.4.3
ADK2	2.7.4.3
ADPT	2.4.2.7
ADPT	2.4.2.8
ADSL1r	4.3.2.2
ADSL2r	4.3.2.2
ADSS	6.3.4.4
AGMHE	5.1.3.20
AGPAT120	2.3.1.51
AGPAT140	2.3.1.51
AGPAT141	2.3.1.51
AGPAT160	2.3.1.51
AGPAT161	2.3.1.51
AGPAT180	2.3.1.51
AGPAT181	2.3.1.51
AIHPDCOATA	2.3.1.180
AIPDCOATA	2.3.1.180
ALAALA	6.3.2.4
ALAASP1c	3.4.11.23
ALAASPabc	TC-3.A.1.5,3.A.1.5
ALACI	5.4.99.3,1.1.1.86
ALAGLN1c	3.4.11.23
ALAGLNabc	TC-3.A.1.5,3.A.1.5
ALAGLU1c	3.4.11.23
ALAGLUabc	TC-3.A.1.5,3.A.1.5
ALAGLY1c	3.4.11.23
ALAGLYabc	TC-3.A.1.5,3.A.1.5
ALAHIS1c	3.4.11.23
ALAHISabc	TC-3.A.1.5,3.A.1.5
ALALEU1c	3.4.11.23
ALALEUabc	TC-3.A.1.5,3.A.1.5
ALAR	5.1.1.1
ALATHR1c	3.4.11.23
ALATHRabc	TC-3.A.1.5,3.A.1.5
ALCD19	1.1.1.1
ALCD2x	1.1.1.1
ALCD2x	1.1.1.71
AMAOTr	2.6.1.62
AMPTASECG	3.4.11.1
AMPTASECG	3.4.11.2
AMPTASECG	3.4.11.23
AMPTASECG	3.4.13.-
AMPTASECG	3.4.13.18
ANPRT	2.4.2.18
ANS	4.1.3.27
ANS2	4.1.3.27
AOXSr	2.3.1.47
APRAUR	1.1.1.193
ARGDC	4.1.1.19
ARGN	3.5.3.1
ASAD	1.2.1.11
ASP1DC	4.1.1.11
ASP1DC	4.1.1.15
ASPCT	2.1.3.2
ASPK	2.7.2.4
ASPT	4.3.1.1
ASPTA	2.6.1.1
ATPS4	3.6.3.14
BACCLi	6.2.1.11,6.3.4.9,6.3.4.10,6.3.4.11,6.3.4.15
BPNT	3.1.3.7
BPNT	3.1.3.97
BTNCL	6.3.4.14
BTS4	2.8.1.6
CBPS	6.3.5.5
CD2abc1	T3.A.3
CDOSKT	2.4.99.13
CDPMEK	2.7.1.148
CGLYabc	TC-3.A.1.5,3.A.1.5
CHORS	4.2.3.5
CLPNS140	2.7.8.-
CLPNS160	2.7.8.-
CLPNS180	2.7.8.-
CLPNSAI15	2.7.8.-
CLPNSAI17	2.7.8.-
CLPNSI14	2.7.8.-
CLPNSI15	2.7.8.-
CLPNSI16	2.7.8.-
CLPNSI17	2.7.8.-
COBALTt5	T1.A.35
CPPPGO	1.3.3.3
CTPS1	6.3.4.2
CTPS2	6.3.4.2
CYSDS	4.4.1.1
CYSTGL	4.4.1.1
CYSTS	4.2.1.22
Cuabc	T3.A.3
Cut1	T3.A.3
DAPDC	4.1.1.20
DAPE	5.1.1.7
DASYN120	2.7.7.41
DASYN140	2.7.7.41
DASYN141	2.7.7.41
DASYN160	2.7.7.41
DASYN161	2.7.7.41
DASYN180	2.7.7.41
DASYN181	2.7.7.41
DASYNAI15	2.7.7.41
DASYNAI17	2.7.7.41
DASYNI14	2.7.7.41
DASYNI15	2.7.7.41
DASYNI16	2.7.7.41
DASYNI17	2.7.7.41
DB4PS	4.1.99.12
DBTS	6.3.3.3
DCTPD	3.5.4.13
DCTPD2	3.5.4.13
DDPA	4.1.2.15
DDPGA	4.1.2.14
DGK1	2.7.4.12
DGK1	2.7.4.13
DGK1	2.7.4.8
DHDPRy	1.3.1.26
DHDPS	4.3.3.7
DHFOR2	1.5.1.3
DHFR	1.5.1.3
DHFS	6.3.2.12
DHNPA	4.1.2.25
DHORD2	1.3.5.2
DHORD5	1.3.5.2
DHORDi	1.3.3.1
DHORTS	3.5.2.3
DHPPDA	3.5.4.26
DHPR	1.5.1.34
DHPS	2.5.1.15
DHQS	4.2.3.4
DHQTi	4.2.1.10
DMATT	2.5.1.1
DMPPS	1.17.1.2
DMPPS2r	1.17.1.2
DPCOAK	2.7.1.24
DPRr	1.1.1.169
DTMPK	2.7.4.12
DTMPK	2.7.4.13
DTMPK	2.7.4.9
DURIPP	2.4.2.1
DURIPP	2.4.2.2
DURIPP	2.4.2.3
DURIPP	2.4.2.4
DUTPDP	3.6.1.-
DUTPDP	3.6.1.23
DUTPDP	3.6.1.9
DXPRIr	1.1.1.267
DXPS	4.1.3.37
E4PD	1.2.1.72
EAR100x	1.3.1.9
EAR10M12x	1.3.1.9
EAR120x	1.3.1.9
EAR12M14x	1.3.1.9
EAR140x	1.3.1.9
EAR15M16x	1.3.1.9
EAR160x	1.3.1.9
EAR180x	1.3.1.9
EAR4M6x	1.3.1.9
EAR60x	1.3.1.9
EAR6M8x	1.3.1.9
EAR80x	1.3.1.9
EAR8M10x	1.3.1.9
EDA_R	4.1.2.14
EDTXS1	2.3.1.-
EHGLAT	2.6.1.1
ENO	4.2.1.11
EX_mal_L(e)	1.5.1.2
EX_ppi(e)	1.1.1.184
FBA	4.1.2.13
FBA2	4.1.2.13
FBA3	4.1.2.13
FBP	3.1.3.11
FMNAT	2.7.7.2
FOLD3	2.5.1.15
FPGS7	6.3.2.17
FPGS_tm	6.3.2.17
FRD2	1.3.99.1
FRD3	1.3.99.1
FRTT	2.5.1.29
FT	2.5.1.-
FTHFCL	6.3.3.2
FUM	4.2.1.2
G1PACT	2.3.1.157
G1SAT	5.4.3.8
G3PAT120	2.3.1.15
G3PAT140	2.3.1.15
G3PAT141	2.3.1.15
G3PAT160	2.3.1.15
G3PAT161	2.3.1.15
G3PAT180	2.3.1.15
G3PAT181	2.3.1.15
G3PATAI15	2.3.1.15
G3PATAI17	2.3.1.15
G3PATI14	2.3.1.15
G3PATI15	2.3.1.15
G3PATI16	2.3.1.15
G3PATI17	2.3.1.15
G3PD1	1.1.1.94
G3PD2	1.1.1.94
G6PBDH	1.1.1.49
G6PDH2r	1.1.1.363
G6PDH2r	1.1.1.49
G6PI	5.3.1.9
G6PI3	5.3.1.9
GALU	2.7.7.9
GAPD	1.2.1.12
GAPD	1.2.1.59
GF6PTA	2.6.1.16
GGTA	2.3.2.2
GGTT	2.5.1.81
GHMT2r	2.1.2.1
GK1	2.7.4.8
GK2	2.7.4.8
GLNS	6.3.1.2
GLNSP1	6.3.1.2
GLNSP2	6.3.1.2
GLNSP3	6.3.1.2
GLUDy	1.4.1.4
GLUR	5.1.1.3
GLUTRR	1.2.1.70
GLUTRS	6.1.1.17
GLYASN1c	3.4.11.23
GLYASNabc	TC-3.A.1.5,3.A.1.5
GLYASP1c	3.4.11.23
GLYASPabc	TC-3.A.1.5,3.A.1.5
GLYGLN1c	3.4.11.23
GLYGLNabc	TC-3.A.1.5,3.A.1.5
GLYGLU1c	3.4.11.23
GLYGLUabc	TC-3.A.1.5,3.A.1.5
GLYLEUHYDROc	3.4.11.2
GLYMET1c	3.4.11.23
GLYMETabc	TC-3.A.1.5,3.A.1.5
GLYPHEHYc	3.4.11.2
GLYPHEabc	3.A.1.5
GLYPROPRO1c	3.4.13.18
GLYPROabc	TC-3.A.1.5,3.A.1.5
GLYTYR1c	3.4.11.23
GLYTYRabc	3.A.1.5
GMAND	4.2.1.47
GMHEPAT	2.7.1.167 2.7.7.70
GMHEPK	2.7.1.167 2.7.7.70
GMHEPPA	3.1.3.82 3.1.3.83
GMPR	1.7.1.7
GMPS2	6.3.5.2
GRTT	2.5.1.10
GTPCI	3.5.4.16
GTPCII	3.5.4.25
GTPDPK	2.7.6.5
GUAPRT	2.4.2.22
GUAPRT	2.4.2.7
GUAPRT	2.4.2.8
H2CO3D	4.2.1.1
HBZOPT	2.5.1.39
HEPT1	2.4.1.-
HEPT2	2.4.1.-
HETT	2.5.1.90
HETZK	2.7.1.50
HEX1	2.7.1.1
HEX1	2.7.1.2
HEXTT	2.5.1.30
HMBS	2.5.1.61
HMBS	4.3.1.8
HMPK1	2.7.1.49
HPPK	2.7.6.3
HSDx	1.1.1.3
HSDy	1.1.1.3
HSK	2.7.1.39
IBCOATA	2.3.1.180
IGPS	4.1.1.48
IHDCOATA	2.3.1.180
IHPDCOATA	2.3.1.180
ILETA	2.6.1.42
IMPD	1.1.1.205
IPDCOATA	2.3.1.180
IPDPS	1.17.1.2
IPDPS2	1.17.1.2
ITDCOATA	2.3.1.180
IVCOATA	2.3.1.180
KARA1	1.1.1.86
KARA3	1.1.1.86
KAS14	2.3.1.41
KDOCT2	2.7.7.38
KDOPP	3.1.3.45
KDOPSr	2.5.1.55
LEUTA	2.6.1.42
LEUTA	2.6.1.6
LEUTA	2.6.1.67
LPADSS	2.4.1.182
LYSDC	4.1.1.18
MACCOAT	2.3.1.16
MAN1PT2	2.7.7.22
MAN6PI	5.3.1.8
MCOATA	2.3.1.85
MECDPDH2	1.17.7.1
MECDPS	4.6.1.12
MEPCT	2.7.7.60
METALA1c	3.4.11.23
METALAabc	TC-3.A.1.5,3.A.1.5
METSOXR1r	1.8.4.13,1.8.4.14
MG2abc	3.6.3.2
MG2abc	T3.A.3
MGt5	T1.A.35
MNabc	3.A.1.15
MOAT	2.4.99.12
MTHFC	3.5.4.9
MTHFD	1.5.1.5
NADK	2.7.1.23
NADK2	2.7.1.23
NADS1	6.3.1.5
NADS1	6.3.5.1
NDPK1	2.7.4.6
NDPK2	2.7.4.6
NDPK3	2.7.4.6
NDPK4	2.7.4.6
NDPK5	2.7.4.6
NDPK6	2.7.4.6
NDPK7	2.7.4.6
NDPK8	2.7.4.6
NDPK9	2.7.4.6
NNATr	2.7.7.1
NNATr	2.7.7.18
NNDPR	2.4.2.19
NP1_r	2.4.2.1
NTD1	3.1.3.5
NTD1	3.1.3.89
OAASr	2.3.3.1,2.3.3.3,4.1.3.7
OCOAT1r	2.8.3.5
OHPBAT	2.6.1.52
OMPDC	4.1.1.23
OPHBDC	4.1.1.-
OROTPT	2.4.2.10
P5CRyr	1.5.1.2
PAPPT2	2.7.8.13
PAPPT3	2.7.8.13
PGAMT	5.4.2.10
PGCDr	1.1.1.95
PGI	5.3.1.9
PGK	2.7.2.3
PGL	3.1.1.31
PGM	5.4.2.1
PGM	5.4.2.11
PGM	5.4.2.12
PGMT	5.4.2.2
PGMT	5.4.2.5
PGMT	5.4.2.8
PGPP120	3.1.3.27
PGPP140	3.1.3.27
PGPP141	3.1.3.27
PGPP160	3.1.3.27
PGPP161	3.1.3.27
PGPP180	3.1.3.27
PGPP181	3.1.3.27
PGPPAI15	3.1.3.27
PGPPAI17	3.1.3.27
PGPPI14	3.1.3.27
PGPPI15	3.1.3.27
PGPPI16	3.1.3.27
PGPPI17	3.1.3.27
PGSA120	2.7.8.5
PGSA140	2.7.8.5
PGSA141	2.7.8.5
PGSA160	2.7.8.5
PGSA161	2.7.8.5
PGSA180	2.7.8.5
PGSA181	2.7.8.5
PGSAAI15	2.7.8.5
PGSAAI17	2.7.8.5
PGSAI14	2.7.8.5
PGSAI15	2.7.8.5
PGSAI16	2.7.8.5
PGSAI17	2.7.8.5
PHTHRDH	1.1.1.262
