OTU ID	SRS058770	SRS017307	SRS017701	SRS018133	SRS017103	SRS017521	SRS018427	SRS024331	SRS020233	SRS024388	SRS024625	SRS017821	SRS016954	SRS017191	SRS018313	SRS013687	SRS021484	SRS020869	SRS023914	SRS022609	SRS023176	SRS024265	SRS015854	SRS019787	SRS015578	SRS016267	SRS048870	SRS015960	SRS015782	SRS016018	SRS016056	SRS015663	SRS016095	SRS016203	SRS016335	SRS019910	SRS019267	SRS011529	SRS011452	SRS011586	SRS014287	SRS050422	SRS014923	SRS014613	SRS015133	SRS053335	SRS018817	SRS049959	SRS019685	SRS064276	SRS051031	SRS054590	SRS064557	SRS063985	SRS062427	SRS019582	SRS015190	SRS011405	SRS014235	SRS049164	SRS052697	SRS011271
c28d0a4d9f1c7b39400278482dcb0d59	252.0	0.0	421.0	48.0	294.0	0.0	0.0	137.0	77.0	0.0	0.0	259.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	648.0	522.0	213.0	218.0	0.0	286.0	108.0	882.0	0.0	140.0	581.0	0.0	164.0	217.0	15.0	0.0	0.0	0.0	0.0	145.0	66.0	276.0	0.0	0.0	78.0	112.0	840.0	262.0	0.0	291.0	118.0	298.0	0.0	0.0
514289cd99d6ffb6b9cfec88323b8a93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6724.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bccda5b8e71776dfdfbd836b63e0ef33	0.0	0.0	0.0	1597.0	0.0	0.0	337.0	0.0	0.0	0.0	428.0	0.0	624.0	0.0	0.0	0.0	0.0	0.0	0.0	635.0	0.0	405.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	969.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1039.0	0.0	0.0	376.0	0.0	0.0	0.0	0.0	0.0	0.0
cd6793b3e0deb3350795e68d8acb6d2a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2279.0
1f393c744249d3a953ac6cae27c28bad	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	527.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	486.0	0.0	0.0	0.0	0.0	0.0	133.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	400.0	573.0	0.0	0.0	0.0	0.0	441.0	0.0	603.0	0.0	0.0	0.0	0.0	602.0	0.0	328.0	0.0	0.0	513.0	0.0	0.0	0.0
af2ed129a20317aa319d575bf5177ed2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1810.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2765.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
de8a06cb44e16ed408f508b651356bac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	546.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	270.0	0.0	0.0	0.0	0.0	0.0	1285.0	0.0	0.0	0.0	0.0	0.0	0.0	1695.0	0.0	355.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cb3f62fe44c353b308dc53d49677c7a0	404.0	0.0	809.0	175.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	229.0	0.0	335.0	518.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	346.0	0.0	675.0	176.0	0.0	0.0	0.0	0.0	0.0	527.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47cf8b68c78127e6a212d93864628049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	411.0	0.0	223.0	0.0	408.0	0.0	0.0	0.0	0.0	0.0	0.0	548.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	284.0	186.0	0.0	0.0	67.0	116.0	890.0	0.0	0.0	93.0	0.0	240.0	0.0	0.0	0.0	366.0	189.0	0.0	0.0
73b8552c7a69c4ca3b34442d1c3066d5	0.0	0.0	0.0	0.0	0.0	0.0	167.0	0.0	0.0	0.0	0.0	0.0	256.0	0.0	0.0	0.0	0.0	0.0	0.0	173.0	0.0	249.0	0.0	233.0	0.0	0.0	456.0	0.0	389.0	0.0	51.0	0.0	114.0	0.0	316.0	0.0	0.0	0.0	0.0	0.0	337.0	0.0	0.0	0.0	270.0	0.0	0.0	0.0	0.0	771.0	0.0	0.0	0.0	0.0	0.0	249.0	0.0	0.0	0.0	0.0	0.0	0.0
