organism	Number of KO function	Number of EC number function	class	Class
Vibrio_fluvialis_560	992	669	Gammaproteobacteria	Gammaproteobacteria
Aeromonas_media_WS	936	633	Gammaproteobacteria	Gammaproteobacteria
Aeromonas_jandaei_Riv2	936	626	Gammaproteobacteria	Gammaproteobacteria
Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966	959	648	Gammaproteobacteria	Gammaproteobacteria
Aeromonas_caviae_Ae398	952	639	Gammaproteobacteria	Gammaproteobacteria
Vibrio_fluvialis_I21563	945	638	Gammaproteobacteria	Gammaproteobacteria
Vibrio_fluvialis_PG41	984	664	Gammaproteobacteria	Gammaproteobacteria
Silanimonas_lenta_DSM_16282	780	503	Gammaproteobacteria	Gammaproteobacteria
Pseudomonas_stutzeri_DSM_4166	940	634	Gammaproteobacteria	Gammaproteobacteria
Yokenella_regensburgei_ATCC_43003	1045	716	Gammaproteobacteria	Gammaproteobacteria
Pseudomonas_oleovorans_MOIL14HWK12	992	689	Gammaproteobacteria	Gammaproteobacteria
Enterobacter_cloacae_EcWSU1	1035	723	Gammaproteobacteria	Gammaproteobacteria
Grimontia_hollisae_CIP_101886	924	626	Gammaproteobacteria	Gammaproteobacteria
Haemophilus_haemolyticus_M19501	691	458	Gammaproteobacteria	Gammaproteobacteria
Haemophilus_influenzae_R2846	716	478	Gammaproteobacteria	Gammaproteobacteria
Haemophilus_parainfluenzae_T3T1	714	485	Gammaproteobacteria	Gammaproteobacteria
Haemophilus_sputorum_CCUG_13788	778	502	Gammaproteobacteria	Gammaproteobacteria
Hafnia_alvei_ATCC_51873	1032	706	Gammaproteobacteria	Gammaproteobacteria
Hafnia_alvei_BIDMC_31	1084	773	Gammaproteobacteria	Gammaproteobacteria
Pseudomonas_putida_F1	999	700	Gammaproteobacteria	Gammaproteobacteria
Klebsiella_pneumoniae_pneumoniae_MGH78578	1067	717	Gammaproteobacteria	Gammaproteobacteria
Klebsiella_sp_1_1_55	1083	733	Gammaproteobacteria	Gammaproteobacteria
Kluyvera_ascorbata_ATCC_33433	1022	716	Gammaproteobacteria	Gammaproteobacteria
Enterobacter_cancerogenus_ATCC_35316	987	666	Gammaproteobacteria	Gammaproteobacteria
Enterobacter_asburiae_LF7a	1036	725	Gammaproteobacteria	Gammaproteobacteria
Enterobacter_aerogenes_KCTC_2190	1041	727	Gammaproteobacteria	Gammaproteobacteria
Enterobacter_hormaechei_YT2	1031	720	Gammaproteobacteria	Gammaproteobacteria
Enterobacter_hormaechei_YT3	1011	710	Gammaproteobacteria	Gammaproteobacteria
Escherichia_albertii_KF1	1006	696	Gammaproteobacteria	Gammaproteobacteria
Escherichia_albertii_TW07627	1002	692	Gammaproteobacteria	Gammaproteobacteria
Citrobacter_youngae_ATCC_29220	1040	695	Gammaproteobacteria	Gammaproteobacteria
Citrobacter_sp_30_2	1031	699	Gammaproteobacteria	Gammaproteobacteria
Citrobacter_koseri_ATCC_BAA_895	1017	678	Gammaproteobacteria	Gammaproteobacteria
Citrobacter_freundii_UCI_31	1051	737	Gammaproteobacteria	Gammaproteobacteria
Citrobacter_freundii_ATCC_8090	1080	752	Gammaproteobacteria	Gammaproteobacteria
Citrobacter_amalonaticus_Y19	1048	733	Gammaproteobacteria	Gammaproteobacteria
Cedecea_davisae_DSM_4568	1010	700	Gammaproteobacteria	Gammaproteobacteria
Leminorella_grimontii_ATCC_33999	893	607	Gammaproteobacteria	Gammaproteobacteria
Escherichia_sp_4_1_40B	1034	691	Gammaproteobacteria	Gammaproteobacteria
Escherichia_sp_1_1_43	654	419	Gammaproteobacteria	Gammaproteobacteria
Escherichia_hermannii_NBRC_105704	992	681	Gammaproteobacteria	Gammaproteobacteria
Escherichia_fergusonii_ATCC_35469	1040	720	Gammaproteobacteria	Gammaproteobacteria
Escherichia_coli_UTI89_UPEC	1023	678	Gammaproteobacteria	Gammaproteobacteria
Escherichia_coli_str_K_12_substr_MG1655	1037	694	Gammaproteobacteria	Gammaproteobacteria
Escherichia_coli_SE11	1047	694	Gammaproteobacteria	Gammaproteobacteria
Escherichia_coli_O157_H7_str_Sakai	1015	675	Gammaproteobacteria	Gammaproteobacteria
Escherichia_sp_3_2_53FAA	1028	683	Gammaproteobacteria	Gammaproteobacteria
Enterobacteriaceae_bacterium_9_2_54FAA	1005	662	Gammaproteobacteria	Gammaproteobacteria
Klebsiella_oxytoca_KCTC_1686	1102	772	Gammaproteobacteria	Gammaproteobacteria
Pseudomonas_monteilii_NBRC_103158	985	687	Gammaproteobacteria	Gammaproteobacteria
Nevskia_ramosa_DSM_11499	855	558	Gammaproteobacteria	Gammaproteobacteria
Pseudomonas_monteilii_QM	995	690	Gammaproteobacteria	Gammaproteobacteria
Edwardsiella_tarda_FL6_60	891	584	Gammaproteobacteria	Gammaproteobacteria
Pseudomonas_fluorescens_PfO_1	1000	690	Gammaproteobacteria	Gammaproteobacteria
Plesiomonas_shigelloides_302_73	908	619	Gammaproteobacteria	Gammaproteobacteria
Proteus_mirabilis_ATCC_29906	902	614	Gammaproteobacteria	Gammaproteobacteria
Proteus_penneri_ATCC_35198	878	608	Gammaproteobacteria	Gammaproteobacteria
Providencia_alcalifaciens_DSM_30120	850	576	Gammaproteobacteria	Gammaproteobacteria
Pantoea_agglomerans_IG1	993	699	Gammaproteobacteria	Gammaproteobacteria
Providencia_rettgeri_DSM_1131	945	627	Gammaproteobacteria	Gammaproteobacteria
Providencia_rustigianii_DSM_4541	859	582	Gammaproteobacteria	Gammaproteobacteria
Pseudomonas_nitroreducens_HBP1	998	686	Gammaproteobacteria	Gammaproteobacteria
Edwardsiella_tarda_ATCC_23685	886	586	Gammaproteobacteria	Gammaproteobacteria
Morganella_morganii_subsp_morganii_KT	932	639	Gammaproteobacteria	Gammaproteobacteria
Moraxella_catarrhalis_RH4	672	460	Gammaproteobacteria	Gammaproteobacteria
Pseudomonas_alcaliphila_34	987	661	Gammaproteobacteria	Gammaproteobacteria
Pseudomonas_aeruginosa_NCGM2S1	979	638	Gammaproteobacteria	Gammaproteobacteria
Providencia_stuartii_ATCC_25827	893	602	Gammaproteobacteria	Gammaproteobacteria
Halococcus_morrhuae_DSM1307	708	468	Halobacteria	Halobacteria
Melainabacterium_MELA1	466	300	Melainabacteria	Melainabacteria
Methanosphaera_stadtmanae_DSM_3091	460	273	Methanobacteria	Methanobacteria
Methanobrevibacter_smithii_ATCC_35061	495	294	Methanobacteria	Methanobacteria
Methanobrevibacter_ruminantium_M1	576	378	Methanobacteria	Methanobacteria
Ureaplasma_urealyticum_serovar_8_str_ATCC_27618	221	156	Mollicutes	Mollicutes
Mycoplasma_pneumoniae_309	191	117	Mollicutes	Mollicutes
Mycoplasma_hominis_ATCC_23114	130	98	Mollicutes	Mollicutes
Ureaplasma_parvum_serovar_1_str_ATCC_27813	223	157	Mollicutes	Mollicutes
Dialister_invisus_DSM_15470	523	370	Negativicutes	Negativicutes
Phascolarctobacterium_succinatutens_YIT_12067	614	387	Negativicutes	Negativicutes
Dialister_succinatiphilus_YIT_11850	646	434	Negativicutes	Negativicutes
Megamonas_hypermegale_ART12_1	738	467	Negativicutes	Negativicutes
Megasphaera_elsdenii_DSM_20460	679	422	Negativicutes	Negativicutes
Megamonas_funiformis_YIT_11815	802	532	Negativicutes	Negativicutes
Mitsuokella_jalaludinii_DSM_13811	742	490	Negativicutes	Negativicutes
Mitsuokella_multacida_DSM_20544	733	456	Negativicutes	Negativicutes
Acidaminococcus_fermentans_DSM_20731	682	455	Negativicutes	Negativicutes
Veillonella_atypica_ACS_049_V_Sch6	708	468	Negativicutes	Negativicutes
Acidaminococcus_intestini_RyC_MR95	630	388	Negativicutes	Negativicutes
Veillonella_parvula_Te3_DSM_2008	685	429	Negativicutes	Negativicutes
Veillonella_ratti_ACS_216_V_Col6b	764	495	Negativicutes	Negativicutes
Acidaminococcus_sp_D21	588	373	Negativicutes	Negativicutes
Veillonella_dispar_ATCC_17748	733	484	Negativicutes	Negativicutes
Selenomonas_ruminantium_AC2024	783	501	Negativicutes	Negativicutes
Candidatus_Nitrososphaera_gargensis_Ga92	618	412	Nitrososphaeria	Nitrososphaeria
Brachyspira_pilosicoli_B2904	735	489	Spirochaetia	Spirochaetia
Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850	597	405	Synergistia	Synergistia
Cloacibacillus_evryensis_DSM_19522	719	507	Synergistia	Synergistia
Pyramidobacter_piscolens_W5455	597	402	Synergistia	Synergistia
Methanomassiliicoccus_luminyensis_B10	621	430	Thermoplasmata	Thermoplasmata
Sulfolobus_solfataricus_P2	661	440	Thermoprotei	Thermoprotei
Peptoniphilus_harei_ACS_146_V_Sch2b	546	349	Tissierellia	Tissierellia
Peptoniphilus_lacrimalis_DSM_7455	499	329	Tissierellia	Tissierellia
Finegoldia_magna_ATCC_29328	509	327	Tissierellia	Tissierellia
Anaerococcus_prevotii_DSM_20548	580	371	Tissierellia	Tissierellia
Anaerococcus_vaginalis_ATCC_51170	570	381	Tissierellia	Tissierellia
Kallipyga_massiliensis_ph2	519	340	Tissierellia	Tissierellia
Peptoniphilus_timonensis_JC401	514	336	Tissierellia	Tissierellia
Peptoniphilus_indolicus_ATCC_29427	565	388	Tissierellia	Tissierellia
Akkermansia_muciniphila_ATCC_BAA_835	684	424	Verrucomicrobiae	Verrucomicrobiae
