"species.names"	"rnamean"
"Citrobacter_freundii"	5
"Citrobacter_koseri"	7
"Citrobacter_sp"	1
"Citrobacter_youngae"	2
"Cloacibacillus_evryensis"	NA
"Clostridiales_sp"	1
"Clostridium_acetobutylicum"	NA
"Clostridium_asparagiforme"	1
"Clostridium_bartlettii"	6
"Clostridium_beijerinckii"	14
"Clostridium_bifermentans"	NA
"Clostridium_bolteae"	1
"Clostridium_botulinum"	10.8333333333333
"Clostridium_butyricum"	6.5
"Clostridium_cadaveris"	NA
"Clostridium_celatum"	NA
"Clostridium_cellobioparum"	NA
"Clostridium_citroniae"	1
"Clostridium_clariflavum"	6
"Clostridium_clostridioforme"	6
"Clostridium_difficile"	5.25
"Clostridium_glycolicum"	NA
"Clostridium_hathewayi"	2
"Clostridium_hiranonis"	1
"Clostridium_hylemonae"	0
"Clostridium_indolis"	6
"Clostridium_innocuum"	5
"Clostridium_leptum"	2
"Clostridium_methoxybenzovorans"	6
"Clostridium_methylpentosum"	1
"Clostridium_nexile"	0
"Clostridium_paraputrificum"	NA
"Clostridium_perfringens"	8
"Clostridium_ramosum"	1
"Clostridium_saccharogumia"	NA
"Clostridium_saccharoperbutylacetonicum"	11
"Clostridium_sartagoforme"	1
"Clostridium_scindens"	2
"Clostridium_sordellii"	1
"Clostridium_sp"	3.2
"Clostridium_spiroforme"	3
"Clostridium_sporogenes"	7
"Clostridium_sporosphaeroides"	NA
"Clostridium_sticklandii"	6
"Clostridium_symbiosum"	1
"Clostridium_tyrobutyricum"	NA
"Clostridium_viride"	NA
"Collinsella_aerofaciens"	5
"Collinsella_intestinalis"	2
"Collinsella_stercoris"	1
"Collinsella_tanakaei"	1
"Comamonas_testosteroni"	NA
"Coprobacillus_sp"	1.5
"Coprococcus_catus"	1
"Coprococcus_comes"	1
"Coprococcus_eutactus"	7
"Corynebacterium_ammoniagenes"	NA
"Corynebacterium_amycolatum"	1
"Corynebacterium_aurimucosum"	4
"Corynebacterium_durum"	1
"Corynebacterium_glucuronolyticum"	NA
"Corynebacterium_kroppenstedtii"	3
"Corynebacterium_propinquum"	1
"Corynebacterium_striatum"	NA
"Corynebacterium_tuberculostearicum"	1
"Corynebacterium_ulcerans"	4
"Corynebacterium_ureicelerivorans"	4
"Cronobacter_sakazakii"	7
"Cryptobacterium_curtum"	3
"Curtobacterium_flaccumfaciens"	1
"Delftia_acidovorans"	5
"Dermacoccus_nishinomiyaensis"	3
"Desulfovibrio_desulfuricans"	1
"Desulfovibrio_piger"	1
"Desulfovibrio_sp"	3
"Dialister_invisus"	NA
"Dialister_succinatiphilus"	5
"Dietzia_cinnamea"	1
"Dorea_formicigenerans"	6
"Dorea_longicatena"	2
"Dyadobacter_beijingensis"	NA
"Dyadobacter_fermentans"	NA
"Dysgonomonas_gadei"	1
"Edwardsiella_tarda"	4.5
"Eggerthella_lenta"	NA
"Eggerthella_sp"	1.5
"Eggerthia_catenaformis"	8
"Eikenella_corrodens"	NA
"Enterobacter_aerogenes"	8
"Enterobacter_asburiae"	7
"Enterobacter_cancerogenus"	1
"Enterobacter_cloacae"	8
"Enterobacter_hormaechei"	8
"Enterobacteriaceae_bacterium"	5
"Enterococcus_asini"	5
"Enterococcus_avium"	1
"Enterococcus_caccae"	1
"Enterococcus_casseliflavus"	NA
"Enterococcus_cecorum"	4
"Enterococcus_dispar"	6
"Enterococcus_durans"	6
"Enterococcus_faecalis"	2.2
"Enterococcus_faecium"	1
"Enterococcus_gallinarum"	1
"Enterococcus_hirae"	6
"Enterococcus_phoeniculicola"	3
"Enterococcus_saccharolyticus"	3
"Enterococcus_sp"	1
"Erysipelotrichaceae_bacterium"	1
"Escherichia_albertii"	7
"Escherichia_coli"	5.5
"Escherichia_fergusonii"	7
"Escherichia_hermannii"	1
"Escherichia_sp"	1
"Eubacterium_biforme"	1
"Eubacterium_brachy"	1
"Eubacterium_cellulosolvens"	NA
"Eubacterium_cylindroides"	1
"Eubacterium_desmolans"	NA
"Eubacterium_dolichum"	2
"Eubacterium_eligens"	5
"Eubacterium_hallii"	1
"Eubacterium_limosum"	5
"Eubacterium_ramulus"	NA
"Eubacterium_rectale"	3
"Eubacterium_saphenum"	NA
"Eubacterium_siraeum"	2
"Eubacterium_sulci"	1
"Eubacterium_ventriosum"	1
"Exiguobacterium_aurantiacum"	9
"Faecalibacterium_cf"	1
"Faecalibacterium_prausnitzii"	0.5
"Filifactor_alocis"	4
"Finegoldia_magna"	4
"Flavonifractor_plautii"	1
"Fusobacterium_gonidiaformans"	1
"Fusobacterium_mortiferum"	1
"Fusobacterium_necrophorum"	1
"Fusobacterium_nucleatum"	3.25
"Fusobacterium_periodonticum"	2
"Fusobacterium_russii"	NA
"Fusobacterium_sp"	5
"Fusobacterium_ulcerans"	1
"Fusobacterium_varium"	1
"Gemella_haemolysans"	4
"Gemella_morbillorum"	NA
"Gemella_sanguinis"	NA
"Geobacillus_stearothermophilus"	NA
"Geobacillus_vulcani"	9
"Gordonia_rubripertincta"	1
"Gordonia_terrae"	1
"Gordonibacter_pamelaeae"	1
"Granulicatella_adiacens"	NA
"Granulicatella_elegans"	1
"Grimontia_hollisae"	6
"Haemophilus_haemolyticus"	3
"Haemophilus_influenzae"	NA
"Haemophilus_parainfluenzae"	6
"Haemophilus_sputorum"	1
"Hafnia_alvei"	4.5
